Timestamp,Open,High,Low,Close
5/4/2018,0.5,1.5,0.5,0.8899
5/5/2018,0.8898,0.935,0.888,0.9028
5/6/2018,0.9028,0.918,0.83774,0.86483
5/7/2018,0.86482,0.86886,0.8,0.8249
5/8/2018,0.8249,0.84802,0.792,0.80667
5/9/2018,0.80667,0.81894,0.7569,0.79481
5/10/2018,0.79481,0.80572,0.74085,0.74558
5/11/2018,0.7492,0.75602,0.64758,0.6761
5/12/2018,0.67376,0.71,0.62519,0.68522
5/13/2018,0.68192,0.7501,0.66456,0.72999
5/14/2018,0.72999,0.7499,0.68585,0.72694
5/15/2018,0.72695,0.74892,0.6801,0.689
5/16/2018,0.689,0.712,0.65756,0.70585
5/17/2018,0.70942,0.712,0.6482,0.65849
5/18/2018,0.65849,0.68255,0.646,0.67766
5/19/2018,0.67698,0.69139,0.6611,0.67339
5/20/2018,0.67483,0.70659,0.668,0.6994
5/21/2018,0.6994,0.705,0.66666,0.67612
5/22/2018,0.67612,0.67817,0.635,0.63782
5/23/2018,0.63782,0.64488,0.5731,0.59198
5/24/2018,0.59053,0.64,0.57617,0.62814
5/25/2018,0.62966,0.63391,0.59336,0.60459
5/26/2018,0.60596,0.62618,0.59771,0.60852
5/27/2018,0.60907,0.648,0.59705,0.60416
5/28/2018,0.60417,0.6091,0.5434,0.54689
5/29/2018,0.54689,0.60921,0.54303,0.59998
5/30/2018,0.5997,0.626,0.58101,0.60149
5/31/2018,0.60051,0.62255,0.58829,0.6114
6/1/2018,0.6114,0.62428,0.6024,0.62151
6/2/2018,0.62236,0.65204,0.61513,0.64269
6/3/2018,0.64285,0.69101,0.63862,0.6901
6/4/2018,0.6901,0.707,0.6351,0.65507
6/5/2018,0.65508,0.686,0.6328,0.67464
6/6/2018,0.67507,0.6833,0.653,0.6741
6/7/2018,0.6738,0.69,0.67089,0.67756
6/8/2018,0.6777,0.68,0.65832,0.6721
6/9/2018,0.67211,0.68,0.65514,0.6574
6/10/2018,0.65687,0.6585,0.55,0.58201
6/11/2018,0.58202,0.6,0.56,0.59989
6/12/2018,0.59901,0.5991,0.5415,0.5556
6/13/2018,0.5556,0.56124,0.50401,0.52862
6/14/2018,0.52863,0.569,0.51934,0.55769
6/15/2018,0.55765,0.55927,0.52447,0.53258
6/16/2018,0.53224,0.5385,0.51733,0.53275
6/17/2018,0.53232,0.5437,0.51999,0.52617
6/18/2018,0.52669,0.5535,0.50818,0.5387
6/19/2018,0.53835,0.56185,0.5207,0.54834
6/20/2018,0.54833,0.55188,0.52065,0.53916
6/21/2018,0.53919,0.549,0.52899,0.53457
6/22/2018,0.5342,0.53506,0.46859,0.48216
6/23/2018,0.48287,0.49909,0.47333,0.49005
6/24/2018,0.48963,0.51,0.43724,0.47331
6/25/2018,0.47418,0.4992,0.47123,0.48125
6/26/2018,0.48125,0.48241,0.4511,0.453
6/27/2018,0.45218,0.47518,0.44787,0.4701
6/28/2018,0.47042,0.47396,0.442,0.44575
6/29/2018,0.4463,0.46124,0.42393,0.45321
6/30/2018,0.45346,0.48318,0.45312,0.46796
7/1/2018,0.46797,0.46989,0.45007,0.46222
7/2/2018,0.46222,0.4954,0.452,0.4899
7/3/2018,0.48913,0.52,0.47801,0.4844
7/4/2018,0.48469,0.508,0.47941,0.49097
7/5/2018,0.49155,0.50295,0.46887,0.4769
7/6/2018,0.47772,0.48156,0.45747,0.47698
7/7/2018,0.47644,0.488,0.46381,0.48494
7/8/2018,0.4852,0.48798,0.4751,0.47915
7/9/2018,0.47872,0.48201,0.47015,0.473
7/10/2018,0.4728,0.47338,0.43866,0.44337
7/11/2018,0.44247,0.45134,0.43957,0.44872
7/12/2018,0.449,0.44932,0.4236,0.43675
7/13/2018,0.43706,0.44509,0.43001,0.43754
7/14/2018,0.43761,0.4443,0.431,0.43864
7/15/2018,0.43864,0.45004,0.43509,0.44681
7/16/2018,0.44695,0.4858,0.4435,0.48173
7/17/2018,0.48173,0.52019,0.4665,0.50728
7/18/2018,0.50651,0.52525,0.4752,0.48868
7/19/2018,0.48869,0.495,0.47125,0.47687
7/20/2018,0.47703,0.4773,0.431,0.44439
7/21/2018,0.4444,0.459,0.4346,0.45506
7/22/2018,0.45467,0.46409,0.44589,0.44859
7/23/2018,0.44859,0.46371,0.44212,0.44499
7/24/2018,0.4452,0.4715,0.438,0.45885
7/25/2018,0.45741,0.46878,0.45153,0.4598
7/26/2018,0.45983,0.46887,0.44538,0.44968
7/27/2018,0.44878,0.462,0.444,0.4555
7/28/2018,0.4555,0.45887,0.44803,0.45641
7/29/2018,0.45643,0.45849,0.45,0.45315
7/30/2018,0.45315,0.45621,0.43382,0.44534
7/31/2018,0.44616,0.44641,0.4268,0.4353
8/1/2018,0.4353,0.46382,0.42671,0.44642
8/2/2018,0.44673,0.44888,0.42849,0.42975
